,Product Name,Product Page,Product Image,Price,Discount Price,Category,Site
0,Xiaomi Mi 9T (2019) | Glacier Blue | With Official Warranty,https://hummart.com/xiaomi-mi-9t-2019-glacier-blue-with-official-warranty-6-gb-128-gb-sl.html,"https://hummart.com/media/catalog/product/m/i/mixiomi9tblue128gb.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",62000,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
17,Nokia 150 Dual Sim | White | With Official Warranty,https://hummart.com/nokia-150-dual-sim-white-with-official-warranty-upto-32-gb-micro-sd.html,"https://hummart.com/media/catalog/product/n/o/nokia150dswhite.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",5200,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
18,Huawei Y6 Prime 2019 | Brown | With Official Warranty,https://hummart.com/huawei-y6-prime-2019-brown-with-official-warranty-2-gb-32-gb.html,"https://hummart.com/media/catalog/product/m/p/mphuay6prime2019brown.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",21699,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
19,Nokia 210 Dual Sim | Charcoal | With Official Warranty,https://hummart.com/nokia-210-dual-sim-charcoal-with-official-warranty-16-mb-ram.html,"https://hummart.com/media/catalog/product/n/o/nokia210dscharcoal.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",5575,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
20,Nokia 210 Dual Sim | Red | With Official Warranty,https://hummart.com/nokia-210-dual-sim-red-with-official-warranty-16-mb-ram.html,"https://hummart.com/media/catalog/product/n/o/nokia210dsred.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",5575,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
21,Nokia 210 Dual Sim | Grey | With Official Warranty,https://hummart.com/nokia-210-dual-sim-grey-with-official-warranty-16-mb-ram.html,"https://hummart.com/media/catalog/product/n/o/nokia210dsgrey.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",5575,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
22,Nokia 216 Dual Sim | Black | With Official Warranty,https://hummart.com/nokia-216-dual-sim-black-with-official-warranty-16-mb-ram.html,"https://hummart.com/media/catalog/product/n/o/nokia216dsblack.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",6000,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
23,Nokia 216 Dual Sim | Gray | With Official Warranty,https://hummart.com/nokia-216-dual-sim-gray-with-official-warranty-16-mb-ram.html,"https://hummart.com/media/catalog/product/n/o/nokia216dsgray.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",6000,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
24,Huawei Y9 2019 | Blue | With Official Warranty,https://hummart.com/huawei-y9-2019-blue-with-official-warranty-4-gb-64-gb.html,"https://hummart.com/media/catalog/product/m/p/mphuay92019blue.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",35999,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
25,Nokia 216 Dual Sim | MInt | With Official Warranty,https://hummart.com/nokia-216-dual-sim-mint-with-official-warranty-16-mb-ram.html,"https://hummart.com/media/catalog/product/n/o/nokia216dsmint.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",6000,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
26,Huawei Y7 Prime 2019 | Black | With Official Warranty,https://hummart.com/huawei-y7-prime-2019-black-with-official-warranty-3-gb-64-gb.html,"https://hummart.com/media/catalog/product/m/p/mphuay7prime2019black.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",28999,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
