,Unnamed: 0,Product Name,Product Page,Product Image,Price,Discount Price,Category,Site
10,10.0,Ray-Ban RB3136 Caravan Sunglasses Gold Frame/Green Lens ,https://www.shophive.com/ray-ban-rb3136-caravan-sunglasses-gold-frame-green-lens,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/g/o/gold_frame_green_g-15xlt_lensgreenlens.jpg,"Rs 14,739",None,Fashion,Shophive
11,11.0,Ray-Ban RB3183 Sunglasses Black Frame/Green Solid Lens 63 mm,https://www.shophive.com/ray-ban-rb3183-sunglasses-black-frame-green-solid-lens-63-mm,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/b/l/black_frame_green_solid_lens_1.jpg,"Rs 16,829",None,Fashion,Shophive
12,12.0,Ray-Ban RB3183 Sunglasses Gunmetal Frame/Gray Polarized GSM Lens 63 mm,https://www.shophive.com/ray-ban-rb3183-sunglasses-gunmetal-frame-gray-polarized-gsm-lens-63-mm,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/g/u/gunmetal_framegray_polarized_gsm_lens.jpg,"Rs 16,829",None,Fashion,Shophive
13,13.0,Ray-Ban RB3183 Sunglasses Shiny Black Frame/Gray Lens 63 mm,https://www.shophive.com/ray-ban-rb3183-sunglasses-shiny-black-frame-gray-lens-63-mm,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/s/h/shiny_black_frame_gray_lens_1.jpg,"Rs 16,609",None,Fashion,Shophive
14,14.0,Ray-Ban RB3183 Sunglasses Silver 63 mm,https://www.shophive.com/ray-ban-rb3183-sunglasses-silver-63-mm,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/s/i/silver_2.jpg,"Rs 17,709",None,Fashion,Shophive
15,15.0,Ray-Ban RB3026 62 AVIATOR II LARGE Sunglasses Black Frame/Green G-15XLT Lens 62mm,https://www.shophive.com/ray-ban-rb3026-62-aviator-ii-large-sunglasses-black-frame-green-g-15xlt-lens-62mm,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/b/l/black_frame_green_g-15xlt_lens_62_mm.jpg,"Rs 16,939",None,Fashion,Shophive
16,16.0,Ray-Ban RB3026 62 AVIATOR II LARGE Sunglasses Gold Frame/Green G-15XLT Lens 62mm,https://www.shophive.com/ray-ban-rb3026-62-aviator-ii-large-sunglasses-gold-frame-green-g-15xlt-lens-62mm,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/g/o/gold_frame_green_g-15xlt_lens_62_mm.jpg,"Rs 16,609",None,Fashion,Shophive
17,17.0,"Ray Ban RB3447 Round Metal Sunglasses, Gold Frame/Crystal Green Lens 50mm",https://www.shophive.com/ray-ban-rb3447-round-metal-sunglasses-gold-frame-crystal-green-lens-50mm,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/g/o/gold_frame_crystal_green_lens.jpg,"Rs 24,999",None,Fashion,Shophive
18,18.0,"Ray Ban RB3447 Round Metal Sunglasses, Gold Frame/Green G-15XLT Lens 50mm",https://www.shophive.com/ray-ban-rb3447-round-metal-sunglasses-gold-frame-green-g-15xlt-lens-50mm,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/g/o/gold_framegreen_g-15xlt_lens_1.jpg,"Rs 24,999",None,Fashion,Shophive
19,19.0,"Ray Ban RB3447 Round Metal Sunglasses, Gunmetal Frame/Crystal Green Lens 50mm",https://www.shophive.com/ray-ban-rb3447-round-metal-sunglasses-gunmetal-frame-crystal-green-lens-50mm,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/g/u/gunmetal_frame_crystal_green_lens_1.jpg,"Rs 24,999",None,Fashion,Shophive
