Unnamed: 0,Product Name,Product Page,Product Image,Category,Site,Price,Discount Price
0,Godox LED Mini Photography Studio (LSD40),https://www.shophive.com/godox-led-mini-photography-studio-lsd40,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/7/1/71eksvw5lnl._sl1000_.png,Cameras,Shophive,-1,-1
1,Godox LED Mini Photography Studio (LST40),https://www.shophive.com/godox-led-mini-photography-studio-lst40,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/7/1/71eksvw5lnl._sl1000__1.png,Cameras,Shophive,-1,-1
2,Godox LED Mini Photography Studio (LST40),https://www.shophive.com/godox-led-light-stick-lc500,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/1/5/1527084030000_img_992403.png,Cameras,Shophive,-1,-1
3,Power2000 ACD-408 Rechargeable Battery For Sony NP-BX1,https://www.shophive.com/power2000-acd-408-rechargeable-battery-for-sony-np-bx1,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/4/1/41zth6sarul.png,Cameras,Shophive,-1,-1
4,Mini DVD-RW Melody,https://www.shophive.com/mini-dvd-rw-melody,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/m/i/mini-dvd-rw-melody-1pcs-nilaomei-1702-28-nilaomei_11.png,Cameras,Shophive,-1,-1
5,Nikon Z7 Mirrorless Digital Camera With 24-70mm Lens ,https://www.shophive.com/nikon-z7-mirrorless-digital-camera-with-24-70mm-lens-74869,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/1/5/1535007314000_1431705_2.png,Cameras,Shophive,-1,-1
6,Sony Camcorders HXR-NX80,https://www.shophive.com/sony-camcorders-hxr-nx80,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/1/5/1505468752_img_870750.png,Cameras,Shophive,-1,-1
7,Sony Camcorders HXR-NX100,https://www.shophive.com/sony-camcorders-hxr-nx100,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/1/4/1433259088_img_500290.png,Cameras,Shophive,-1,-1
8,Sony Camcorders PXW-Z90 ,https://www.shophive.com/sony-camcorders-pxw-z90,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/1/5/1505468752_img_870780.png,Cameras,Shophive,-1,-1
9,"UGreen Type A to Mini USB Data Cable (Black, 1M) ",https://www.shophive.com/ugreen-type-a-to-mini-usb-data-cable-black-1m,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/t/h/thumb_9.jpg,Cameras,Shophive,-1,-1
10,Dji Osmo Pro / Raw Professional Stability Handheld,https://www.shophive.com/dji-osmo-pro-raw-professional-stability-handheld,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/images/catalog/product/placeholder/small_image.jpg,Cameras,Shophive,-1,-1
11,Dji Osmo Base,https://www.shophive.com/dji-osmo-base,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/m/e/medium_osmo_part46_osmo_base__1_.png,Cameras,Shophive,-1,-1
12,Dji Force Pro,https://www.shophive.com/dji-force-pro,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/6/1/61dhnmwuirl._sl1500_.png,Cameras,Shophive,-1,-1
13,Canon RF 24-240mm F4-6.3 IS USM,https://www.shophive.com/canon-rf-24-240mm-f4-6-3-is-usm,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/a/canon_rf_24-240mm_f4-6.3_is_usm_4_.png,Cameras,Shophive,-1,-1
14,Sony Camcorder HXR-MC2500,https://www.shophive.com/avchd-camcorder-hxr-mc2500,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/a/6/a6489111b949c4d9f0abf23aa2e9183f.jpeg,Cameras,Shophive,-1,-1
15,Sony Camcorder HXR-NX5R ,https://www.shophive.com/sony-hxr-nx5r,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/b/9/b96a7d3c39c2c9f031152f18ea45f3bd.png,Cameras,Shophive,-1,-1
16,Sony Camcorder PXW-X70 ,https://www.shophive.com/sony-camcorder-pxw-x70,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/4/c/4c88afdf99cd02b475bebde7399cab3f_1.png,Cameras,Shophive,-1,-1
17,Canon EOS 90D DSLR Camera (Body Only),https://www.shophive.com/canon-eos-90d-dslr-camera-body-only,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/c/a/canon_eos_90d_dslr_camera_body_only_6_.jpg,Cameras,Shophive,-1,-1
18,Canon EOS M6 Mark II with EF-M 15-45mm Lens + EVF Kit Black,https://www.shophive.com/canon-eos-m6-mark-ii-with-ef-m-15-45mm-lens-evf-kit-black,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/e/o/eos-m6-mark-ii-ef-m-15-45mm-3q-view-evf_675x450.jpg,Cameras,Shophive,-1,-1
