Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Product Name,Product Page,Product Image,Category,Site,Price,Discount Price
1163,,,,,"AOC 24"" Full HD Curved Screen Gaming LED Monitor (C24G1)",https://www.ishopping.pk/aoc-24-hd-curved-gaming-led-monitor-c24g1-price-in-pakistan-wc.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/o/aoc_24_full_hd_curved_screen_gaming_led_monitor_c24g1__1.jpg,Accessories,ishopping,42500,-1
1161,,,,,"AOC 27"" FHD LED Monitor (27E1H)",https://www.ishopping.pk/aoc-27-fhd-led-monitor-27e1h-price-in-pakistan-wc-366405.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/o/aoc_27_fhd_led_monitor_27e1h__1.jpg,Accessories,ishopping,28400,-1
957,,,,,"Acer 19.5"" HD LED Monitor (V206HQL)",https://www.ishopping.pk/acer-19-5-hd-led-monitor-v206-hql-price-in-pakistan-do.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/c/acer_hd_led_monitor_v206-hql__1.jpg,Accessories,ishopping,15500,-1
958,,,,,"Acer 21.5"" Screen LED Monitor Black (V226HQL)",https://www.ishopping.pk/acer-21-screen-led-monitor-black-v226hql-price-in-pakistan-do.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/c/acer_21_screen_led_monitor_black_v226hql__1.jpg,Accessories,ishopping,19500,-1
955,,,,,"Acer EB2 18.5"" HD LED Monitor (EB192Q)",https://www.ishopping.pk/acer-eb2-18-hd-led-monitor-eb192q-do.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/c/acer_eb2_18_hd_led_monitor_eb192q__1_1.jpg,Accessories,ishopping,11500,-1
825,,,,,Al Medina Store Wireless Bluetooth Headphones (STN-13),https://www.ishopping.pk/al-medina-store-bluetooth-headphones-stn-13-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/l/al_medina_store_wireless_bluetooth_headphones_stn-16_.jpg,Accessories,ishopping,2800,1700
826,,,,,Al Medina Store Wireless Bluetooth Headphones (STN-16),https://www.ishopping.pk/al-medina-store-bluetooth-headphones-stn-16-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/l/al_medina_store_wireless_bluetooth_headphones_stn-16__1.jpg,Accessories,ishopping,3000,1900
827,,,,,Al Medina Store Wireless Bluetooth Headphones (STN-17),https://www.ishopping.pk/al-medina-store-bluetooth-headphones-stn-17-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/l/al_medina_store_wireless_bluetooth_headphones_stn-17_.jpg,Accessories,ishopping,3200,2000
829,,,,,Al Medina Store Wireless Bluetooth Noise Cancelling Super Bass Headphones (QC35),https://www.ishopping.pk/al-medina-store-bluetooth-super-bass-headphones-qc35-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/l/al_medina_store_wireless_bluetooth_noise_cancelling_super_bass_headphones_qc35_.jpg,Accessories,ishopping,3500,2000
828,,,,,Al Medina Store Wireless Noise Canceling Headphones - White,https://www.ishopping.pk/al-medina-store-wireless-headphones-white-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/l/al_medina_store_wireless_noise_canceling_headphones_-_white.jpg,Accessories,ishopping,3200,2100
1094,,,,,Alcatroz AirMouse 3 Wireless Mouse Black,https://www.ishopping.pk/alcatroz-airmouse-3-wireless-mouse-black-price-in-pakistan-jo.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/l/alcatroz_airmouse_3_wireless_mouse_black_1.jpg,Accessories,ishopping,1089,-1
1093,,,,,Alcatroz AirMouse 3 Wireless Mouse Blue,https://www.ishopping.pk/alcatroz-airmouse-3-wireless-mouse-blue-price-in-pakistan-jo.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/l/alcatroz_airmouse_3_wireless_mouse_blue_1.jpg,Accessories,ishopping,1089,-1
1092,,,,,Alcatroz AirMouse 3 Wireless Mouse White,https://www.ishopping.pk/alcatroz-airmouse-3-wireless-mouse-white-price-in-pakistan-jo.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/l/alcatroz_airmouse_3_wireless_mouse_white_1.jpg,Accessories,ishopping,1089,-1
1096,,,,,Alcatroz AirMouse Wireless Optical Mouse Black,https://www.ishopping.pk/alcatroz-airmouse-wireless-optical-mouse-black-price-in-pakistan-jo.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/l/alcatroz_airmouse_wireless_optical_mouse_black_1.jpg,Accessories,ishopping,1089,-1
1095,,,,,Alcatroz AirMouse Wireless Optical Mouse White,https://www.ishopping.pk/alcatroz-airmouse-wireless-optical-mouse-white-price-in-pakistan-jo.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/l/alcatroz_airmouse_wireless_optical_mouse_white_1.jpg,Accessories,ishopping,1089,-1
1090,,,,,Alcatroz Jellybean A2000 Wireless Keyboard and Mouse Combo Black,https://www.ishopping.pk/alcatroz-jellybean-a2000-wireless-keyboard-mouse-combo-black-price-in-pakistan-jo.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/l/alcatroz_jellybean_a2000_wireless_keyboard_and_mouse_combo_black_1.jpg,Accessories,ishopping,3179,-1
1091,,,,,Alcatroz Jellybean A2000 Wireless Keyboard and Mouse Combo Black/Red,https://www.ishopping.pk/alcatroz-jellybean-a2000-wireless-keyboard-mouse-combo-black-red-price-in-pakistan-jo.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/l/alcatroz_jellybean_a2000_wireless_keyboard_and_mouse_combo_black_red_1.jpg,Accessories,ishopping,3179,-1
1089,,,,,Alcatroz Xplorer Dock 2 Bluetooth Keyboard Black/Green,https://www.ishopping.pk/alcatroz-xplorer-dock-2-bluetooth-keyboard-black-green-price-in-pakistan-jo.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/l/alcatroz_xplorer_dock_2_bluetooth_keyboard_black_green_1.jpg,Accessories,ishopping,7700,-1
